sender,sender_type,receiver,receiver_type,date,amount,risk,risk_type,total_donasi_sender,jumlah_transaksi_sender,rata_rata_donasi_sender,std_donasi_sender,jumlah_donasi_30hari_sender,selang_waktu_rata2_sender,receiver_unik_per_sender,degree_centrality_sender,sender_unik_per_receiver,degree_centrality_receiver,max_donasi_satu_receiver,proporsi_donasi_terbesar_per_sender,flag_donasi_melebihi_batas
Lili Laksmiwati,individual,"Raina Handayani, S.E.",individual,2024-07-07,54765779,True,smurfing,54765779,1,54765779.0,,1.0,,1,1,1,1,54765779,1.0,False
CV Prasetyo (Persero) Tbk,organization,Partai Persatuan,political-party,2024-08-04,1335206035,True,proxy,1335206035,1,1335206035.0,,1.0,,1,1,415,415,1335206035,1.0,False
"Maimunah Puspasari, S.Farm",individual,Dt. Balidin Hutagalung,individual,2025-11-16,4780496447,True,over_limit,4780496447,1,4780496447.0,,1.0,,1,1,1,1,4780496447,1.0,True
PD Budiman,organization,Laras Prasetya,individual,2025-07-30,96013825,True,smurfing,15176127334,5,3035225466.8,6020455420.160951,2.0,119.75,5,5,1,1,13770089045,0.9073519707593671,False
UD Hasanah Suwarno Tbk,organization,Partai Persatuan,political-party,2025-06-25,1167274455,True,over_limit,1167274455,1,1167274455.0,,1.0,,1,1,415,415,1167274455,1.0,False
CV Damanik Mahendra,corporation,"Gilda Wijayanti, S.T.",individual,2025-07-31,46433092,True,smurfing,46433092,1,46433092.0,,1.0,,1,1,1,1,46433092,1.0,False
UD Astuti (Persero) Tbk,corporation,Nasab Anggriawan,individual,2024-05-10,11551423627,True,self_funded,11551423627,1,11551423627.0,,1.0,,1,1,1,1,11551423627,1.0,False
UD Maryati Nurdiyanti,corporation,"Tira Safitri, S.IP",individual,2024-12-02,76686548,True,smurfing,76686548,1,76686548.0,,1.0,,1,1,1,1,76686548,1.0,False
CV Saefullah Tbk,organization,"Dt. Gamani Haryanti, S.T.",individual,2025-08-19,271521163,True,proxy,271521163,1,271521163.0,,1.0,,1,1,1,1,271521163,1.0,False
Rini Laksita,individual,Partai Keadilan Indonesia,political-party,2024-12-16,89647889,False,,89647889,1,89647889.0,,1.0,,1,1,422,422,89647889,1.0,False
Perum Dabukke Marpaung (Persero) Tbk,organization,Rina Novitasari,individual,2024-06-03,144351831,True,proxy,144351831,1,144351831.0,,1.0,,1,1,1,1,144351831,1.0,False
Ellis Utami,individual,"Baktiono Wahyudin, S.E.",individual,2024-08-17,138227602,True,self_funded,138227602,1,138227602.0,,1.0,,1,1,1,1,138227602,1.0,False
Dirja Prakasa,individual,"Galang Rahayu, S.Pt",individual,2025-12-08,16933833,True,smurfing,16933833,1,16933833.0,,1.0,,1,1,1,1,16933833,1.0,False
Rahmat Prayoga,individual,Hairyanto Waskita,individual,2025-01-24,2059443592,False,,2059443592,1,2059443592.0,,1.0,,1,1,1,1,2059443592,1.0,False
Ilsa Setiawan,individual,"dr. Malika Hariyah, S.Farm",individual,2024-05-14,2103038706,False,,2103038706,1,2103038706.0,,1.0,,1,1,1,1,2103038706,1.0,False
PD Widodo (Persero) Tbk,corporation,Partai Nasional Demokrat,political-party,2024-12-23,52214625,True,proxy,52214625,1,52214625.0,,1.0,,1,1,434,434,52214625,1.0,False
UD Riyanti Tarihoran,organization,Partai Nasional Demokrat,political-party,2024-10-30,77888295,False,,77888295,1,77888295.0,,1.0,,1,1,434,434,77888295,1.0,False
UD Jailani (Persero) Tbk,organization,Partai Amanat Rakyat,political-party,2024-04-30,962638937,True,over_limit,1009244683,2,504622341.5,647733281.1480519,1.0,228.0,2,2,411,411,962638937,0.9538211627120358,False
CV Yulianti,corporation,Partai Kebangkitan Rakyat,political-party,2024-04-11,86738184,True,smurfing,86738184,1,86738184.0,,1.0,,1,1,382,382,86738184,1.0,False
Wirda Kurniawan,individual,Partai Demokrat,political-party,2024-07-12,278348090,True,over_limit,278348090,1,278348090.0,,1.0,,1,1,429,429,278348090,1.0,True
PT Siregar,organization,Tirta Waluyo,individual,2024-05-04,81712731,True,smurfing,1637350829,4,409337707.25,517529983.7415798,1.0,190.0,4,4,1,1,1141386014,0.6970931298194005,False
Farah Susanti,individual,Yani Siregar,individual,2025-09-05,1299383902,False,,1299383902,1,1299383902.0,,1.0,,1,1,1,1,1299383902,1.0,False
UD Sinaga,organization,Partai Indonesia Maju,political-party,2024-05-07,133715962,False,,40529130566,4,10132282641.5,11626341008.618525,1.0,201.66666666666666,3,3,411,411,21453701499,0.5293402843681421,False
UD Novitasari Tbk,corporation,"Nilam Kusmawati, S.T.",individual,2025-03-27,12129152,True,smurfing,12129152,1,12129152.0,,1.0,,1,1,1,1,12129152,1.0,False
"Ir. Cakrabirawa Usada, M.M.",individual,Endah Anggraini,individual,2025-08-22,1623868127,True,self_funded,1623868127,1,1623868127.0,,1.0,,1,1,1,1,1623868127,1.0,False
PD Permadi Puspasari,corporation,Vicky Suryono,individual,2024-10-22,67353250,True,smurfing,67353250,1,67353250.0,,1.0,,1,1,1,1,67353250,1.0,False
Emil Yuliarti,individual,Partai Demokrat,political-party,2024-06-25,140888911,False,,140888911,1,140888911.0,,1.0,,1,1,429,429,140888911,1.0,False
Dt. Rusman Saputra,individual,Partai Keadilan Indonesia,political-party,2024-09-24,17743132,False,,17743132,1,17743132.0,,1.0,,1,1,422,422,17743132,1.0,False
"Tgk. Dimaz Waluyo, M.TI.",individual,Partai Amanat Rakyat,political-party,2025-01-14,80433540,False,,80433540,1,80433540.0,,1.0,,1,1,411,411,80433540,1.0,False
UD Wibowo Putra Tbk,organization,Partai Amanat Rakyat,political-party,2024-04-08,46758612,False,,46758612,1,46758612.0,,1.0,,1,1,411,411,46758612,1.0,False
UD Suartini,organization,Zelaya Haryanto,individual,2025-11-30,87868940,True,smurfing,904869788,3,301623262.6666667,185442409.30505294,1.0,187.5,3,3,1,1,419486976,0.4635882218226961,False
Perum Sihombing Sirait,corporation,Partai Keadilan Indonesia,political-party,2025-04-27,180955136,False,,180955136,1,180955136.0,,1.0,,1,1,422,422,180955136,1.0,False
R.M. Timbul Usada,individual,"dr. Reksa Hasanah, S.IP",individual,2024-05-15,1535205045,False,,1535205045,1,1535205045.0,,1.0,,1,1,1,1,1535205045,1.0,False
PT Mansur Tbk,organization,Tirtayasa Kurniawan,individual,2025-07-30,45513331494,True,over_limit,45513331494,1,45513331494.0,,1.0,,1,1,1,1,45513331494,1.0,False
H. Garan Irawan,individual,Partai Demokrat,political-party,2025-02-13,136554414,False,,136554414,1,136554414.0,,1.0,,1,1,429,429,136554414,1.0,False
Perum Fujiati Simbolon,corporation,Bakti Pradipta,individual,2025-02-19,14686604401,True,self_funded,14686604401,1,14686604401.0,,1.0,,1,1,1,1,14686604401,1.0,False
PT Hassanah Yuniar Tbk,corporation,Partai Amanat Rakyat,political-party,2024-10-22,475485938,False,,475485938,1,475485938.0,,1.0,,1,1,411,411,475485938,1.0,False
PT Pertamina (Persero),corporation,Melinda Suartini,individual,2025-07-11,29944723339,True,illegal_source,246343904444,25,9853756177.76,11413337551.314232,2.0,24.653846153846153,21,21,1,1,31150398733,0.12645086065070973,True
PT Kereta Api Indonesia (Persero),corporation,Partai Amanat Rakyat,political-party,2024-04-17,304910156,True,illegal_source,145985883063,16,9124117691.4375,8893912355.329416,2.0,40.86666666666667,14,14,411,411,23830858073,0.16324083927153304,False
UD Nugroho Puspasari (Persero) Tbk,corporation,dr. Harjaya Suryono,individual,2025-10-18,1357047947,True,proxy,1357047947,1,1357047947.0,,1.0,,1,1,1,1,1357047947,1.0,False
Malika Suwarno,individual,Partai Nasional Demokrat,political-party,2025-04-01,146487694,False,,146487694,1,146487694.0,,1.0,,1,1,434,434,146487694,1.0,False
PD Laksita (Persero) Tbk,corporation,Lasmono Sudiati,individual,2025-09-12,35093762331,True,over_limit,35093762331,1,35093762331.0,,1.0,,1,1,1,1,35093762331,1.0,True
UD Usamah Tampubolon (Persero) Tbk,corporation,Zalindra Suryono,individual,2025-08-14,17747833716,True,self_funded,17747833716,1,17747833716.0,,1.0,,1,1,1,1,17747833716,1.0,False
CV Latupono Siregar (Persero) Tbk,organization,Partai Keadilan Indonesia,political-party,2025-12-03,283209677,True,proxy,283209677,1,283209677.0,,1.0,,1,1,422,422,283209677,1.0,False
UD Andriani Utama (Persero) Tbk,corporation,"Titin Dongoran, M.Pd",individual,2024-07-11,11397696556,False,,11397696556,1,11397696556.0,,1.0,,1,1,1,1,11397696556,1.0,False
Ir. Ani Zulaika,individual,Partai Harapan Bangsa,political-party,2024-06-26,73265132,False,,73265132,1,73265132.0,,1.0,,1,1,436,436,73265132,1.0,False
"Dr. Bahuraksa Rahmawati, S.Pt",individual,Partai Persatuan,political-party,2025-10-17,65640682,False,,65640682,1,65640682.0,,1.0,,1,1,415,415,65640682,1.0,False
PD Permata (Persero) Tbk,corporation,Nalar Ardianto,individual,2025-06-20,20290544694,False,,20290544694,1,20290544694.0,,1.0,,1,1,1,1,20290544694,1.0,False
PT Puspita Prakasa (Persero) Tbk,organization,Karta Kuswoyo,individual,2025-04-25,94044329,True,smurfing,94044329,1,94044329.0,,1.0,,1,1,1,1,94044329,1.0,False
"R.A. Eka Permata, M.TI.",individual,Kiandra Pudjiastuti,individual,2024-03-07,533791598,False,,533791598,1,533791598.0,,1.0,,1,1,1,1,533791598,1.0,False
Kawaya Anggraini,individual,drg. Artanto Adriansyah,individual,2025-09-23,60461279,True,smurfing,60461279,1,60461279.0,,1.0,,1,1,1,1,60461279,1.0,False
UD Halimah Nugroho,corporation,R.M. Vega Purwanti,individual,2025-04-19,19773208326,True,self_funded,19773208326,1,19773208326.0,,1.0,,1,1,1,1,19773208326,1.0,False
"KH. Estiono Hakim, M.Kom.",individual,Partai Nasional Demokrat,political-party,2025-02-15,14632881,True,smurfing,14632881,1,14632881.0,,1.0,,1,1,434,434,14632881,1.0,False
Perum Hutapea Haryanti Tbk,corporation,Partai Nasional Demokrat,political-party,2024-06-07,416628150,False,,416628150,1,416628150.0,,1.0,,1,1,434,434,416628150,1.0,False
PT Prasasta Irawan,organization,Calista Hasanah,individual,2025-04-20,34836546,True,smurfing,34836546,1,34836546.0,,1.0,,1,1,1,1,34836546,1.0,False
Perum Prasasta (Persero) Tbk,organization,"Cut Maya Laksmiwati, S.T.",individual,2024-09-11,1096203044,True,proxy,1096203044,1,1096203044.0,,1.0,,1,1,1,1,1096203044,1.0,False
CV Wibowo Budiyanto (Persero) Tbk,corporation,Kamila Nasyiah,individual,2024-04-13,1874759951,False,,1874759951,1,1874759951.0,,1.0,,1,1,1,1,1874759951,1.0,False
Olivia Laksita,individual,Partai Kebangkitan Rakyat,political-party,2025-08-22,51813059,False,,51813059,1,51813059.0,,1.0,,1,1,382,382,51813059,1.0,False
Oman Pertiwi,individual,Partai Amanat Rakyat,political-party,2024-09-23,2053552,False,,2053552,1,2053552.0,,1.0,,1,1,411,411,2053552,1.0,False
PD Waluyo,organization,Partai Demokrat,political-party,2025-07-06,339568362,False,,12331713759,3,4110571253.0,6262625863.679226,1.0,88.5,3,3,429,429,11339773252,0.9195618284379934,False
PD Yuliarti Prasetya Tbk,organization,Partai Demokrat,political-party,2025-10-01,304823837,False,,304823837,1,304823837.0,,1.0,,1,1,429,429,304823837,1.0,False
UD Pangestu Saefullah,corporation,Partai Keadilan Indonesia,political-party,2025-09-25,240449045,False,,240449045,1,240449045.0,,1.0,,1,1,422,422,240449045,1.0,False
PD Rahmawati Hutapea (Persero) Tbk,organization,Eli Aryani,individual,2024-07-15,45806129,True,smurfing,45806129,1,45806129.0,,1.0,,1,1,1,1,45806129,1.0,False
UD Putra Hariyah (Persero) Tbk,organization,Anastasia Prasasta,individual,2024-04-23,229279249,True,proxy,229279249,1,229279249.0,,1.0,,1,1,1,1,229279249,1.0,False
PD Prakasa Tbk,corporation,Ajeng Gunarto,individual,2025-07-13,5193922068,False,,5484376982,2,2742188491.0,3467274875.918901,1.0,457.0,2,2,1,1,5193922068,0.947039578979839,False
"Maman Mandasari, S.T.",individual,Tgk. Mahfud Safitri,individual,2025-10-22,804834716,True,self_funded,804834716,1,804834716.0,,1.0,,1,1,1,1,804834716,1.0,False
Estiawan Saputra,individual,Edi Wijaya,individual,2024-01-11,585767225,False,,585767225,1,585767225.0,,1.0,,1,1,2,2,585767225,1.0,False
Cinta Putra,individual,Partai Amanat Rakyat,political-party,2024-03-11,68612089,False,,68612089,1,68612089.0,,1.0,,1,1,411,411,68612089,1.0,False
"Halima Tampubolon, M.Farm",individual,Cici Narpati,individual,2025-07-26,1559961757,False,,1559961757,1,1559961757.0,,1.0,,1,1,1,1,1559961757,1.0,False
R. Wani Irawan,individual,Partai Indonesia Maju,political-party,2024-10-26,174962686,False,,174962686,1,174962686.0,,1.0,,1,1,411,411,174962686,1.0,False
Perum Palastri,corporation,Partai Indonesia Maju,political-party,2024-07-03,150009600,False,,12681142360,3,4227047453.3333335,6620676989.629981,1.0,232.0,3,3,411,411,11866163273,0.9357329912507977,False
Perum Marbun (Persero) Tbk,corporation,Partai Persatuan,political-party,2025-12-03,143965598,False,,143965598,1,143965598.0,,1.0,,1,1,415,415,143965598,1.0,False
Latif Suryatmi,individual,Partai Rakyat Sejahtera,political-party,2025-11-01,11920812,False,,11920812,1,11920812.0,,1.0,,1,1,404,404,11920812,1.0,False
UD Yolanda Dabukke (Persero) Tbk,corporation,Partai Keadilan Indonesia,political-party,2024-09-19,1306586310,True,proxy,1306586310,1,1306586310.0,,1.0,,1,1,422,422,1306586310,1.0,True
Perum Najmudin Tbk,organization,Partai Kebangkitan Rakyat,political-party,2025-05-23,156189,True,smurfing,6219990,2,3109995.0,4177312.505819022,1.0,96.0,2,2,382,382,6063801,0.9748891879247394,False
"Hadi Haryanto, S.IP",individual,Partai Keadilan Indonesia,political-party,2025-09-24,120166156,False,,120166156,1,120166156.0,,1.0,,1,1,422,422,120166156,1.0,False
PD Mansur Safitri,corporation,"Caturangga Riyanti, S.Pd",individual,2025-10-21,3980713914,False,,3980713914,1,3980713914.0,,1.0,,1,1,1,1,3980713914,1.0,False
PT Pertamina (Persero),corporation,Kunthara Namaga,individual,2024-08-13,27807847640,True,illegal_source,246343904444,25,9853756177.76,11413337551.314232,1.0,24.653846153846153,21,21,1,1,31150398733,0.12645086065070973,True
Perum Hastuti Maryati Tbk,corporation,Silvia Pranowo,individual,2025-06-22,1104159851,True,proxy,1104159851,1,1104159851.0,,1.0,,1,1,1,1,1104159851,1.0,False
Perum Mansur Handayani,corporation,Partai Keadilan Indonesia,political-party,2025-08-28,269019478,False,,269019478,1,269019478.0,,1.0,,1,1,422,422,269019478,1.0,False
"Reksa Kuswandari, S.Farm",individual,Partai Kebangkitan Rakyat,political-party,2025-09-15,171735766,False,,171735766,1,171735766.0,,1.0,,1,1,382,382,171735766,1.0,False
"Drs. Bahuwarna Waskita, M.Ak",individual,Dina Maulana,individual,2024-04-11,1676785777,False,,1676785777,1,1676785777.0,,1.0,,1,1,1,1,1676785777,1.0,False
Vanya Usada,individual,Partai Rakyat Sejahtera,political-party,2025-03-22,60103841,False,,60103841,1,60103841.0,,1.0,,1,1,404,404,60103841,1.0,False
UD Irawan (Persero) Tbk,organization,Partai Demokrat,political-party,2024-03-25,57894289,True,smurfing,57894289,1,57894289.0,,1.0,,1,1,429,429,57894289,1.0,False
"Wadi Lailasari, S.Pt",individual,Partai Persatuan,political-party,2025-04-16,22159370,False,,22159370,1,22159370.0,,1.0,,1,1,415,415,22159370,1.0,False
PT Haryanti,corporation,Belinda Sihotang,individual,2024-02-02,20744386194,False,,20744386194,1,20744386194.0,,1.0,,1,1,1,1,20744386194,1.0,False
Perum Irawan,corporation,Partai Harapan Bangsa,political-party,2024-02-19,1621917606,True,proxy,1621917606,1,1621917606.0,,1.0,,1,1,436,436,1621917606,1.0,True
PT Hardiansyah (Persero) Tbk,corporation,"Tgk. Kayla Nashiruddin, M.Kom.",individual,2024-12-26,839623972,True,proxy,33793151801,3,11264383933.666666,10424968584.76203,1.0,167.0,3,3,1,1,21689561129,0.6418330334123544,False
PT Hassanah Mandala,organization,"Latika Zulkarnain, S.E.I",individual,2025-04-08,1903400194,True,proxy,1903400194,1,1903400194.0,,1.0,,1,1,1,1,1903400194,1.0,False
PT Pradana,corporation,Partai Indonesia Maju,political-party,2024-01-30,1913368311,True,proxy,1913368311,1,1913368311.0,,1.0,,1,1,411,411,1913368311,1.0,True
PD Budiyanto Firmansyah,organization,Emas Waskita,individual,2024-11-18,956449745,True,proxy,956449745,1,956449745.0,,1.0,,1,1,1,1,956449745,1.0,False
PT Pertamina (Persero),corporation,Zizi Manullang,individual,2025-07-06,18282163735,True,illegal_source,246343904444,25,9853756177.76,11413337551.314232,1.0,24.653846153846153,21,21,1,1,31150398733,0.12645086065070973,False
PD Maheswara (Persero) Tbk,organization,Partai Harapan Bangsa,political-party,2024-06-18,649671533,True,proxy,649671533,1,649671533.0,,1.0,,1,1,436,436,649671533,1.0,False
PD Rahmawati Tbk,corporation,Partai Persatuan,political-party,2025-10-13,715826201,False,,2168772578,2,1084386289.0,521222674.9990214,1.0,620.0,2,2,415,415,1452946377,0.6699394817781581,False
Paulin Zulaika,individual,"Galih Safitri, M.Farm",individual,2024-03-24,1911581440,False,,1911581440,1,1911581440.0,,1.0,,1,1,1,1,1911581440,1.0,False
PT Putra Andriani Tbk,corporation,Partai Nasional Demokrat,political-party,2025-12-03,1502516101,True,over_limit,1502516101,1,1502516101.0,,1.0,,1,1,434,434,1502516101,1.0,True
PT Zulaika Tbk,organization,Kasiran Sirait,individual,2025-07-15,1459698091,True,proxy,3414152158,3,1138050719.3333333,1010960498.8299509,1.0,244.5,3,3,1,1,1949054362,0.570875072873656,False
PT Wasita Usada (Persero) Tbk,organization,Embuh Puspasari,individual,2025-03-31,62328615,True,smurfing,62328615,1,62328615.0,,1.0,,1,1,1,1,62328615,1.0,False
R. Hana Narpati,individual,drg. Wadi Sirait,individual,2025-11-12,72690114,True,smurfing,72690114,1,72690114.0,,1.0,,1,1,1,1,72690114,1.0,False
PD Manullang,corporation,Jayeng Sihombing,individual,2024-05-01,18791029913,True,self_funded,18904605449,2,9452302724.5,13206954645.279064,1.0,200.0,2,2,1,1,18791029913,0.9939921763346821,False
UD Kurniawan,organization,"Dt. Edi Januar, S.H.",individual,2024-11-05,22160536116,False,,23897575102,2,11948787551.0,14441593316.16699,1.0,299.0,2,2,1,1,22160536116,0.9273131697008612,False
"Sakura Megantara, M.Pd",individual,Partai Keadilan Indonesia,political-party,2024-08-18,117190226,False,,117190226,1,117190226.0,,1.0,,1,1,422,422,117190226,1.0,False
Rina Hidayat,individual,Partai Persatuan,political-party,2024-09-12,91082621,False,,91082621,1,91082621.0,,1.0,,1,1,415,415,91082621,1.0,False
Mursita Lestari,individual,Partai Kebangkitan Rakyat,political-party,2025-06-06,79292490,True,smurfing,79292490,1,79292490.0,,1.0,,1,1,382,382,79292490,1.0,False
Perum Sinaga Budiyanto,corporation,Eman Habibi,individual,2024-04-08,31648182583,True,over_limit,31648182583,1,31648182583.0,,1.0,,1,1,1,1,31648182583,1.0,True
Ir. Yosef Hassanah,individual,Partai Amanat Rakyat,political-party,2025-02-26,28701133,False,,28701133,1,28701133.0,,1.0,,1,1,411,411,28701133,1.0,False
"R.A. Ani Hastuti, S.Ked",individual,Partai Kebangkitan Rakyat,political-party,2024-12-23,160505561,False,,160505561,1,160505561.0,,1.0,,1,1,382,382,160505561,1.0,False
PD Hutapea Tbk,corporation,Zaenab Utami,individual,2025-09-20,16751809751,False,,17143284692,2,8571642346.0,11568503686.633326,1.0,550.0,2,2,1,1,16751809751,0.9771645312999624,False
"Ani Mayasari, S.Farm",individual,"KH. Gilang Suwarno, S.E.",individual,2024-08-08,2172134053,True,self_funded,2172134053,1,2172134053.0,,1.0,,1,1,1,1,2172134053,1.0,False
Chandra Mardhiyah,individual,Radika Nainggolan,individual,2025-09-09,52906792,True,smurfing,52906792,1,52906792.0,,1.0,,1,1,1,1,52906792,1.0,False
UD Maulana Firmansyah,corporation,Sari Sitorus,individual,2025-10-15,977367958,False,,977367958,1,977367958.0,,1.0,,1,1,1,1,977367958,1.0,False
Perum Situmorang,corporation,Bakti Gunarto,individual,2024-01-15,7157906920,False,,7465414619,4,1866353654.75,3527926733.025449,1.0,153.66666666666666,4,4,1,1,7157906920,0.9588090260630171,False
Dt. Lasmanto Hidayat,individual,Laswi Suwarno,individual,2024-06-25,2778467337,True,over_limit,2778467337,1,2778467337.0,,1.0,,1,1,1,1,2778467337,1.0,True
Drs. Novi Gunarto,individual,R. Azalea Wastuti,individual,2025-07-09,2211146476,True,self_funded,2211146476,1,2211146476.0,,1.0,,1,1,1,1,2211146476,1.0,False
Yessi Utami,individual,Partai Nasional Demokrat,political-party,2024-03-08,143901784,False,,143901784,1,143901784.0,,1.0,,1,1,434,434,143901784,1.0,False
CV Halimah Winarsih Tbk,corporation,Partai Demokrat,political-party,2025-10-07,1977217241,True,proxy,1977217241,1,1977217241.0,,1.0,,1,1,429,429,1977217241,1.0,True
Perum Andriani Tbk,organization,Usyi Mandasari,individual,2025-11-27,9362453787,False,,9362453787,1,9362453787.0,,1.0,,1,1,1,1,9362453787,1.0,False
PD Pranowo Haryanti,corporation,Partai Nasional Demokrat,political-party,2025-03-30,186037719,False,,186037719,1,186037719.0,,1.0,,1,1,434,434,186037719,1.0,False
UD Sitompul Sihombing,organization,Partai Demokrat,political-party,2025-05-28,265982973,False,,265982973,1,265982973.0,,1.0,,1,1,429,429,265982973,1.0,False
